id,category_name,activity_title,activity_id,longitude,latitude,date,image,comment,gender,age_range,disability,puntuacion
256,Bienestar Socioeconómico,Actividades culturales,27,-101.68474069999434,21.101330321999733,2023-12-08 01:08:20.031332+00:00,images/5d0bc348-1f46-4fad-98e8-5ac04e9f5254.jpg,,MUJER,46_55,NINGUNA,93.0
249,Bienestar Socioeconómico,Actividades culturales,27,-101.6816518692024,21.09423392913093,2023-12-08 01:08:05.668887+00:00,,,MUJER,46_55,NINGUNA,93.0
242,Bienestar Socioeconómico,Actividades culturales,27,-101.6809842309086,21.09902094108749,2023-12-08 01:08:05.668317+00:00,,,MUJER,46_55,NINGUNA,86.0
237,Bienestar Socioeconómico,Actividades culturales,27,-101.68111791262083,21.099070600292244,2023-12-08 01:07:14.966193+00:00,,,MUJER,46_55,NINGUNA,100.0
724,Bienestar Socioeconómico,Actividades de comercio local,26,-101.68005176518432,21.100444974833508,2023-12-19 21:56:28.136840+00:00,images/4f3a3a2d-5871-4328-9caf-4d3b98f1e9a7.jpg,,HOMBRE,26_35,VISUAL,93.0
723,Bienestar Socioeconómico,Actividades de comercio local,26,-101.68107336273624,21.098060890751285,2023-12-19 21:56:28.136773+00:00,images/4f3a3a2d-5871-4328-9caf-4d3b98f1e9a7.jpg,,HOMBRE,26_35,VISUAL,93.0
722,Bienestar Socioeconómico,Actividades de comercio local,26,-101.68098541995936,21.09804570774603,2023-12-19 21:56:28.136703+00:00,images/4f3a3a2d-5871-4328-9caf-4d3b98f1e9a7.jpg,,HOMBRE,26_35,VISUAL,93.0
718,Bienestar Socioeconómico,Actividades de comercio local,26,-101.68005176518432,21.100444974833508,2023-12-19 21:56:00.303497+00:00,images/a23fc021-e922-4d7f-9a4f-8947d8132585.jpg,,HOMBRE,26_35,VISUAL,93.0
717,Bienestar Socioeconómico,Actividades de comercio local,26,-101.68107336273624,21.098060890751285,2023-12-19 21:56:00.303425+00:00,images/a23fc021-e922-4d7f-9a4f-8947d8132585.jpg,,HOMBRE,26_35,VISUAL,93.0
716,Bienestar Socioeconómico,Actividades de comercio local,26,-101.68098541995936,21.09804570774603,2023-12-19 21:56:00.303332+00:00,images/a23fc021-e922-4d7f-9a4f-8947d8132585.jpg,,HOMBRE,26_35,VISUAL,93.0
254,Bienestar Socioeconómico,Actividades de comercio local,26,-101.6832226000167,21.10069192202704,2023-12-08 01:08:20.031198+00:00,images/05c897c3-9a80-45a0-a965-ebd643c78614.jpg,,MUJER,46_55,NINGUNA,74.0
253,Bienestar Socioeconómico,Actividades de comercio local,26,-101.68329710000124,21.10016210934989,2023-12-08 01:08:20.031129+00:00,images/2832c46a-fb65-4944-9a22-ed6d87b5e8a8.jpg,venta de alimentos en fin de semana,MUJER,46_55,NINGUNA,100.0
