id,category_name,activity_title,activity_id,longitude,latitude,date,image,comment,gender,age_range,disability,dim_enturb_6a,dim_enturb_6b,dim_enturb_6c,dim_enturb_9a,dim_enturb_9b,dim_enturb_9c,dim_enturb_9d,dim_enturb_9e,dim_enturb_9f,dim_enturb_9g,dim_enturb_9h,dim_enturb_9i,dim_enturb_9o,dim_enturb_9j,dim_enturb_9k,dim_enturb_9l,dim_enturb_9m,dim_enturb_9n,Otro,Otro,dim_enturb_11c,dim_enturb_11a,dim_enturb_11b,dim_enturb_12a,dim_enturb_12b,dim_enturb_12c,dim_enturb_12d,dim_enturb_12e,dim_enturb_12f,dim_enturb_12g,dim_enturb_12v,dim_enturb_12h,dim_enturb_12i,dim_enturb_12j,dim_enturb_12k,dim_enturb_12l,dim_enturb_12m,dim_enturb_12n,dim_enturb_12o,dim_enturb_12p,dim_enturb_12q,dim_enturb_12r,dim_enturb_12s,dim_medamb_15a,dim_medamb_15b,dim_medamb_15c,dim_medamb_16a,dim_medamb_16b,dim_medamb_16c,dim_medamb_16d,dim_medamb_16e,dim_medamb_16f,dim_medamb_16g,dim_medamb_16h,dim_medamb_18a,dim_medamb_18b,dim_medamb_18c,dim_medamb_18d,dim_medamb_18e,dim_medamb_18f,dim_medamb_18g,dim_medamb_18h,dim_medamb_18i,dim_medamb_18j,dim_medamb_19a,dim_medamb_19c,dim_medamb_19d,dim_medamb_19e,dim_medamb_19f,dim_medamb_19b,dim_medamb_21a,dim_medamb_21b,dim_medamb_21c,dim_medamb_21d,dim_medamb_21e,dim_medamb_21f,dim_medamb_21g,dim_medamb_21h,dim_medamb_21i,dim_medamb_21j,dim_medamb_21k,dim_biensoc_22a,dim_biensoc_22b,dim_biensoc_22c,dim_biensoc_22d,dim_biensoc_22e,dim_biensoc_22f,dim_biensoc_22g,dim_biensoc_25a,dim_biensoc_25b,dim_biensoc_25c,dim_biensoc_25d,dim_biensoc_25e,dim_biensoc_25f,dim_biensoc_25g,dim_biensoc_27a,dim_biensoc_27b,dim_biensoc_27c,dim_biensoc_27d,dim_biensoc_27e,dim_biensoc_27f,dim_biensoc_27g,dim_riesdes_29a,dim_riesdes_29b,dim_riesdes_29c,dim_riesdes_29d,dim_riesdes_29e,dim_riesdes_29f,dim_riesdes_29g,dim_riesdes_33a,dim_riesdes_33b
724,Bienestar Socioeconómico,Actividades de comercio local,26,-101.68005176518432,21.100444974833508,2023-12-19 21:56:28.136840+00:00,images/4f3a3a2d-5871-4328-9caf-4d3b98f1e9a7.jpg,,HOMBRE,26_35,VISUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUESTO_CALLEJERO,,BUENO,REGULAR,BUENO,BUENO,BUENO,,,,,,,,,,,,,,,,,,,,,,,
723,Bienestar Socioeconómico,Actividades de comercio local,26,-101.68107336273624,21.098060890751285,2023-12-19 21:56:28.136773+00:00,images/4f3a3a2d-5871-4328-9caf-4d3b98f1e9a7.jpg,,HOMBRE,26_35,VISUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUESTO_CALLEJERO,,BUENO,REGULAR,BUENO,BUENO,BUENO,,,,,,,,,,,,,,,,,,,,,,,
722,Bienestar Socioeconómico,Actividades de comercio local,26,-101.68098541995937,21.09804570774603,2023-12-19 21:56:28.136703+00:00,images/4f3a3a2d-5871-4328-9caf-4d3b98f1e9a7.jpg,,HOMBRE,26_35,VISUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUESTO_CALLEJERO,,BUENO,REGULAR,BUENO,BUENO,BUENO,,,,,,,,,,,,,,,,,,,,,,,
721,Entorno urbano,Espacios públicos y áreas verdes,14,-101.68520708712498,21.101471916598314,2023-12-19 21:56:28.136627+00:00,images/4f3a3a2d-5871-4328-9caf-4d3b98f1e9a7.jpg,,HOMBRE,26_35,VISUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUESTO_CALLEJERO,,BUENO,REGULAR,BUENO,BUENO,BUENO,,,,,,,,,,,,,,,,,,,,,,,
720,Bienestar Socioeconómico,Actividades deportivas,29,-101.68205760000161,21.098807062749174,2023-12-19 21:56:28.136551+00:00,images/4f3a3a2d-5871-4328-9caf-4d3b98f1e9a7.jpg,,HOMBRE,26_35,VISUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUESTO_CALLEJERO,,BUENO,REGULAR,BUENO,BUENO,BUENO,,,,,,,,,,,,,,,,,,,,,,,
719,Entorno urbano,Espacios públicos y áreas verdes,14,-101.68119062544257,21.099079242143482,2023-12-19 21:56:28.136461+00:00,images/4f3a3a2d-5871-4328-9caf-4d3b98f1e9a7.jpg,,HOMBRE,26_35,VISUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUESTO_CALLEJERO,,BUENO,REGULAR,BUENO,BUENO,BUENO,,,,,,,,,,,,,,,,,,,,,,,
718,Bienestar Socioeconómico,Actividades de comercio local,26,-101.68005176518432,21.100444974833508,2023-12-19 21:56:00.303497+00:00,images/a23fc021-e922-4d7f-9a4f-8947d8132585.jpg,,HOMBRE,26_35,VISUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUESTO_CALLEJERO,,BUENO,REGULAR,BUENO,BUENO,BUENO,,,,,,,,,,,,,,,,,,,,,,,
717,Bienestar Socioeconómico,Actividades de comercio local,26,-101.68107336273624,21.098060890751285,2023-12-19 21:56:00.303425+00:00,images/a23fc021-e922-4d7f-9a4f-8947d8132585.jpg,,HOMBRE,26_35,VISUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUESTO_CALLEJERO,,BUENO,REGULAR,BUENO,BUENO,BUENO,,,,,,,,,,,,,,,,,,,,,,,
716,Bienestar Socioeconómico,Actividades de comercio local,26,-101.68098541995937,21.09804570774603,2023-12-19 21:56:00.303332+00:00,images/a23fc021-e922-4d7f-9a4f-8947d8132585.jpg,,HOMBRE,26_35,VISUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUESTO_CALLEJERO,,BUENO,REGULAR,BUENO,BUENO,BUENO,,,,,,,,,,,,,,,,,,,,,,,
715,Entorno urbano,Espacios públicos y áreas verdes,14,-101.68520708712498,21.101471916598314,2023-12-19 21:56:00.303229+00:00,images/a23fc021-e922-4d7f-9a4f-8947d8132585.jpg,,HOMBRE,26_35,VISUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUESTO_CALLEJERO,,BUENO,REGULAR,BUENO,BUENO,BUENO,,,,,,,,,,,,,,,,,,,,,,,
