code,title,block_type,description,activity_title,activity_id,options
dim_enturb_6a,¿Qué elementos quieres proponer?,radio,Puedes seleccionar más de uno.,Ciclovías y biciestacionamientos (POTENCIALES) ⭐️⭐️,8,"{'choices': [{'label': 'Ciclovía', 'value': 'CICLOVIA'}, {'label': 'Calle con preferencia ciclista o zona 30 km/hr', 'value': 'CALLE_PREFERENCIA'}, {'label': 'Biciestacionamientos', 'value': 'BICIESTACIONAMIENTO'}]}"
dim_enturb_6b,Selecciona las razones por las que consideras es necesario el elemento.,checkbox,Puedes seleccionar más de una.,Ciclovías y biciestacionamientos (POTENCIALES) ⭐️⭐️,8,"{'choices': [{'label': 'Hay muchas personas que usan la bicicleta', 'value': 'HAY_MUCHOS_CICLCISTAS'}, {'label': 'Mejorar la seguridad al andar en bicicleta y/o estacionar la bicicleta', 'value': 'MEJORAR_SEGURIDAD'}, {'label': 'Para fomentar que las niñas y niños anden en bicicleta', 'value': 'FOMENTAR_USO_INFANTIL'}, {'label': 'Para poder conectar escuelas, parques/espacios abiertos cercanos ', 'value': 'CONECTAR_ESPACIOS'}, {'label': 'Otro', 'value': 'OTRAS'}]}"
dim_enturb_6c,Otro,short_text,"Por favor, especifica",Ciclovías y biciestacionamientos (POTENCIALES) ⭐️⭐️,8,
dim_enturb_9a,"En general, ¿consideras que la banqueta y/o camino está en buenas condiciones?",radio,,Banquetas y caminos,11,"{'choices': [{'label': 'Sí, está en buenas condiciones.', 'value': 'SI'}, {'label': 'No, presenta problemas.', 'value': 'NO'}]}"
dim_enturb_9b,No hay banqueta,radio,,Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9c,Ancho insuficiente,radio,"No caben dos personas, con silla de ruedas o carreola",Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9d,Obstáculos,radio,"Automóviles que impidan caminar, árboles, postes, entre otros",Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9e,Pavimento insuficiente o en mal estado,radio,"Superficies sin pavimento, baches, grietas, agujeros",Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9f,Falta sombra,radio,"Arbolado, elementos fijos que den sombra, entre otros",Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9g,Falta de iluminación,radio,,Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9h,Inseguridad vial,radio,"Atropellos, choques",Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9i,Inseguridad por asaltos y/o robos,radio,,Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9o,Inseguridad por situaciones de acoso,radio,,Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'GRAVE'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9j,Falta mobiliario urbano,radio,"Bancos, basureros, etc.",Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9k,"No hay presencia de otras personas, mujeres, niñas y niños",radio,,Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9l,No hay visibilidad y actividades alrededor,radio,"Tiendas, frentes y fachadas con ventanas",Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9m,No hay presencia de personal de seguridad,radio,"Guardias, policias, etc.",Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9n,No hay elementos de seguridad,radio,"cámaras de seguridad, alarmas, botones de pánico",Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
,Otro,radio,,Banquetas y caminos,11,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
,Otro,short_text,"Por favor, especifique.",Banquetas y caminos,11,
dim_enturb_11c,Otro,short_text,"Por favor, especifica.",Banquetas y cruces peatonales (POTENCIALES) ⭐️⭐️,13,
dim_enturb_11a,¿Qué elemento quieres proponer?,checkbox,Puedes seleccionar más de uno.,Banquetas y cruces peatonales (POTENCIALES) ⭐️⭐️,13,"{'choices': [{'label': 'Banqueta', 'value': 'BANQUETA'}, {'label': 'Calle peatonal', 'value': 'CALLE_PEATONAL'}, {'label': 'Cruce peatonal', 'value': 'CRUCE_PEATONAL'}]}"
dim_enturb_11b,Selecciona las razones por las que consideras es necesario el/los elemento/s.,checkbox,Puedes seleccionar más de uno,Banquetas y cruces peatonales (POTENCIALES) ⭐️⭐️,13,"{'choices': [{'label': 'Hay muchas personas que caminan en esta área', 'value': 'HAY_MUCHOS_PEATONES'}, {'label': 'Mejorar la seguridad al caminar y cruzar las calles y evitar siniestros viales', 'value': 'MEJORAR_SEGURIDAD'}, {'label': 'Para fomentar que las niñas y niños caminen con seguridad', 'value': 'FOMENTAR_SEGURIDAD_INFANTIL'}, {'label': 'Para conectar escuelas, parques/espacios abiertos cercanos ', 'value': 'CONECTAR_ESPACIOS'}, {'label': 'Para fomentar el comercio local', 'value': 'FOMENTAR_COMERCIO_LOCAL'}, {'label': 'Mejorar la apariencia del espacio público y embellecer el área', 'value': 'MEJORAR_APARIENCIA'}, {'label': 'Otro', 'value': 'OTRO'}]}"
